Metric ID,Group,Metrics Category,Metric,Definition / Description,Formula,Numerator,Denominator,Application v2,Application,Analysis,Analysis Subtype,A[i]gent,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Transformation/ Import Logic,Tags,Notes
17.03,Workforce Planning,Cost Efficiency,Termination-Voluntary Value Average ($Cost),The average value of each voluntary termination during the reporting period.,Total Termination Value.Voluntary / Terminations.Voluntary,Total Termination Value.Voluntary ,Terminations.Voluntary,,Employee turnover analysis,,,,"Average Voluntary Termination Value represents the average cost of an Individual voluntary termination to the organization. Employee terminations can carry direct costs as well as efficiency and productivity costs or customer service deterioration. Direct costs include departure costs (e.g., accrued vacation), vacancy costs (e.g., temporary replacement help, recruiting advertising), and new hire costs (e.g., screening, relocation, increased salary over previous employee). Other costs can include decreased morale, lost productivity while peers “cover” the vacancy, the lost productivity of recruiters and hiring managers for recruiting a replacement, and the ramp-up time to productivity required for the replacement employee.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.04,Workforce Planning,Cost Efficiency,Termination Value Average ($Cost),The average value of each termination during the reporting period.,Total Termination Value / Terminations,Total Termination Value,#Terminations,,"Employee turnover for purposes of workforce planning that may include talent management, productivity, or cost reduction.",,,,"Average Termination Value represents the average cost of an individual Termination to the organization. Employee terminations can carry direct costs to an organization, as well as efficiency and productivity costs or customer service deterioration. Direct costs generally include departure costs (e.g., accrued vacation), vacancy costs (e.g., temporary replacement help, recruiting advertising), and new hire costs (e.g., screening, relocation, increased salary over previous employee). Other costs can include decreased morale, lost productivity while peers “cover” the vacancy, the lost productivity of recruiters and hiring managers for recruiting a replacement, and the ramp-up time to productivity required for the replacement employee.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.09,Workforce Planning,Operational Performance,Termination-Voluntary Rate (%of Headcount),Voluntary terminations during the reporting period as a percentage of average headcount.,(Terminations.Voluntary / Average Headcount) * 100,Terminations.Voluntary,Average Headcount,,,,,,"Voluntary Termination Rate measures the percentage of employees who left the organization on their own initiation during the reporting period, for reasons such as resignation or retirement. Voluntary terminations are thus different from involuntary, or employer-initiated, terminations such as firings or layoffs. A result of 15% means that voluntary terminations equated to 15% of the workforce.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.10,Workforce Planning,Operational Performance,Termination Reason Breakdown,Distribution of terminations during a reporting period by type of termination.,(Terminations.[Termination Reason] / Terminations) * 100,Terminations.[Termination Reason],#Terminations,,Employee turnover analysis,,,,"Termination Reason Breakdown measures the composition of terminations by type of termination, including voluntary and involuntary termination reasons. Graphically, the data are presented as a percentage of the total terminations, i.e., a stacked bar graph of voluntary and involuntary terminations.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.11,Workforce Planning,Operational Performance,Termination Rate (%Avg Headcount),Terminations during the reporting period as a percentage of average headcount.,(Terminations / Average Headcount) *100,#Terminations,Average Headcount,,"Employee turnover for purposes of workforce planning that may include talent management, productivity, or cost reduction.",,,,"Termination Rate measures the percentage of employees who left the Organization during the reporting period. It reflects the total employee turnover within the organization, including both voluntary and involuntary separation reasons. For example, a result of 20% indicates that terminations equated to 20% of the average size of the workforce. A result of greater than 100% indicates that terminations exceeded the average size of the workforce during the period.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.12,Workforce Planning,Outcome & Impact,Termination Breakdown by Performance Rating,Distribution of terminations during a reporting period by performance rating of terminating employees.,(Terminations.[Performance Rating] / Average Headcount.[Performance Rating]) *100,Terminations.[Performance Rating],Average Headcount.[Performance Rating],,"Employee turnover for purposes of workforce planning that may include talent management, productivity, or cost reduction.",,,,Termination Breakdown by Performance Rating indicates the percentage of employees who left from each performance group. For example. If the organization has 100 high performers and 10 high performers leave then the High Performer Turnover Rate = 10%. This does not mean that 10% of those who terminated are High Performers.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.13,Workforce Planning,Outcome & Impact,Retention Rate,Percentage of all headcount during the period that did not terminate.,(Start of Period Headcount + External Hires - Terminations) / (Start of Period Headcount + External Hires) * 100,Start of Period Headcount + External Hires - Terminations,Start of Period Headcount + External Hires,,"Employee retention for purposes of workforce planning that may include talent development, productivity, or cost reduction.",,Recruitment Process: Quality of Hire,,"Retention Rate for a specified period measures the percentage of all employees present at any point during the period that are still with the organization at the end of the period. In a yearly view, this measure answers the question, “What percentage of all the people that have walked through our doors this year are still here?” A result of 80% indicates that 80% of employees that were with the organization at the start of the period or were hired during the period are still employed at the end of the period",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
17.15,Workforce Planning,Operational Performance,Termination -Involuntary Rate (%of Headcount),Involuntary terminations as a percentage of average headcount.,(Terminations.Involuntary / Average Headcount) * 100,Terminations.Involuntary,Average Headcount,,Measuring company initiated employee turnover for purposes of workforce planning that may include cost reduction or talent management.,,,,"Involuntary Termination Rate measures employer-initiated terminations relative to the size of the workforce. It reflects the extent to which the organization has intentionally terminated employees through performance management outcomes, organizational skill adjustment, or downsizing efforts. A result of 15% means that involuntary terminations equated to 15% of the workforce.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.01,Workforce Planning,Operational Performance,Tenure / Staffing Rate < 1-Year,Percentage of employees at the end of the period that have less than one year of tenure,(End of Period Headcount.< 1-Year Tenure / End of Period Headcount) * 100,End of Period Headcount.< 1-Year Tenure,End of Period Headcount,,,,,,"A result of 10% means that 10% the employee population has less than 1 year of tenure. High levels of less than 1 year of tenure could be a result of rapid growth. More likely, high levels of less than 1 year of tenure is a result of staffing to replace high turnover.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.02,Workforce Planning,Operational Performance,Staffing Breakdown by Tenure-Org ,Distribution of headcount by organizational tenure at the end of the reporting period.,(End of Period Headcount.[Tenure] / End of Period Headcount) * 100,End of Period Headcount.[Tenure],End of Period Headcount,,,,,,"Organization Tenure Staffing Breakdown indicates the percentages of the workforce that fall within various tenure groupings. Graphically, the data are presented as a percentage of the total workforce, i.e., a stacked bar graph.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.03,Workforce Planning,Operational Performance,Tenure - Workforce Average #,The average tenure of the workforce at the end of the reporting period.,Total Workforce Tenure / End of Period Headcount,Total Workforce Tenure,End of Period Headcount,,,,,, A result of 5.2 means that the average employee has an organizational tenure of 5.2 years.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.05,Workforce Planning,Operational Performance,Staffing Rate - Temporary (%of Workforce),Temporary employees as a percentage of the total full-time equivalent workforce.,(FTE.Temporary / FTE) * 100,#FTE.Temporary,#FTE ,,,,,,"Staffing Rate——Temporary indicates the percentage of the organization’’s full-time equivalent workforce that is classified as ““temporary,”” as opposed to ““regular.”” Temporary workers are those who may be employed for a limited duration or those that are otherwise sourced from a temporary employment agency to fulfill short-term staffing needs.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.06,Workforce Planning,Outcome & Impact,Staffing Rate - Revenue Generating (%of Workforce),Full-time equivalent employees in revenue-generating roles as a percentage of all full-time equivalent employees.,(FTE.Revenue Generating / FTE) * 100,#FTE.Revenue Generating,#FTE ,,,,,,A result of 20% indicates that one of every five employees serves in a role that creates revenue for the organization.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.07,Workforce Planning,Operational Performance,Staffing Rate - Part Time (%of Workforce),Part-time employees as a percentage of the total workforce.,(End of Period Headcount.Part Time / End of Period Headcount) * 100,End of Period Headcount.Part Time,End of Period Headcount,,,,,,A result of 5% means that five of every one hundred employees are classified as part time.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
18.08,Workforce Planning,Operational Performance,Staffing Rate - Managerial (%of Workforce),Managers as a percentage of total headcount at the end of the reporting period.,(End of Period Headcount.Manager / End of Period Headcount) * 100,End of Period Headcount.Manager,End of Period Headcount,,Workforce structure analysis used to evaluate management layer density and cost efficiency.,,,,"Managerial positions, for this measure, typically refer to positions with managerial titles, regardless of whether those positions involve supervisory responsibility. A result of 20% means that 20% of all employees occupy managerial positions.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
